Age,Quickness,Injury,Vision,Endurance,Decision_Making,Strength_Agility,Prime_Sport
18.4,1,1,3,5,34,57,Basketball
15.6,1,1,0,1,40,150,Hockey
17.9,5,0,1,1,5,147,Hockey
18.8,2,1,3,5,29,57,Baseball
18.9,2,1,0,3,20,135,Football
15.8,1,1,2,3,4,294,Football
14.4,1,0,3,5,32,51,Baseball
14.5,1,1,0,1,103,322,Football
13.3,1,1,2,3,18,108,Hockey
15.1,2,0,2,3,4,156,Football
15,1,1,3,5,59,54,Baseball
14.9,1,0,2,3,4,208,Football
14,0,1,1,3,6,220,Football
18.2,1,1,1,3,19,147,Hockey
18.1,2,0,1,3,63,195,Football
14.5,6,0,2,3,8,155,Football
17.7,3,1,3,5,29,57,Basketball
15,1,1,3,3,50,258,Football
16.7,1,1,1,6,28,292,Football
13.1,4,0,1,3,4,156,Football
16.6,6,1,0,3,43,184,Basketball
16,1,0,2,5,11,145,Baseball
16.3,1,1,2,3,23,168,Hockey
13.1,1,1,1,3,40,26,Basketball
16.7,1,0,1,5,45,145,Hockey
17.9,1,1,2,3,40,245,Baseball
16.4,2,1,3,5,55,18,Baseball
16.5,1,1,2,5,37,200,Football
14.3,1,1,2,3,8,184,Football
13.9,0,1,2,3,8,90,Baseball
17.4,1,1,2,3,43,128,Hockey
13.7,1,0,3,5,33,18,Football
15.7,2,0,3,5,18,17,Football
16.8,1,1,2,3,59,168,Football
14.5,1,1,3,5,40,57,Basketball
15.9,1,0,3,5,32,60,Baseball
18.1,3,1,3,5,19,130,Baseball
17.7,2,1,3,5,19,84,Hockey
13.8,6,1,1,1,4,171,Football
16.8,1,1,1,5,43,92,Basketball
18.6,1,1,1,5,19,200,Basketball
13.6,1,1,3,3,30,275,Football
15.3,1,1,3,5,57,66,Basketball
13.7,1,0,3,5,16,54,Baseball
19,1,1,3,5,20,17,Basketball
13.3,2,0,3,5,45,66,Hockey
17.5,1,0,3,5,3,17,Baseball
13,1,1,2,3,40,96,Football
18.5,1,1,3,5,55,57,Baseball
15.8,4,1,0,5,48,145,Football
13.8,1,1,3,5,35,66,Baseball
16.3,1,0,1,5,8,159,Hockey
16.5,1,1,1,3,18,152,Football
16.2,1,1,2,5,4,72,Basketball
15.9,1,0,3,3,8,250,Baseball
14.8,1,1,1,3,5,336,Football
15.3,1,1,1,5,4,87,Baseball
18.5,2,1,3,5,54,72,Basketball
13.8,2,1,3,5,12,18,Baseball
15.2,1,1,1,1,64,147,Baseball
14.1,1,1,3,5,14,54,Baseball
13.8,1,1,3,3,35,260,Hockey
13.2,1,0,1,3,48,96,Hockey
13.3,1,1,1,3,45,322,Football
14,1,1,0,1,8,200,Football
13.6,2,1,2,5,66,128,Basketball
15,6,1,2,3,20,230,Football
16.4,1,1,2,1,29,76,Baseball
16.1,2,1,0,5,28,88,Hockey
13.1,1,1,3,5,40,104,Basketball
15.9,1,0,1,1,63,57,Baseball
16.5,1,1,1,5,48,93,Baseball
17,4,1,2,5,72,104,Baseball
18.3,2,1,3,5,2,60,Baseball
16.2,1,0,1,3,33,116,Football
16.6,2,1,0,3,69,144,Football
13.5,1,0,0,3,11,260,Football
15.4,1,1,2,5,20,27,Hockey
15.4,1,0,0,5,41,129,Basketball
13.8,1,0,1,3,1,120,Hockey
15.3,1,1,1,5,12,132,Basketball
16.4,2,1,2,5,18,96,Hockey
13.5,1,1,0,3,39,129,Baseball
13.6,3,1,0,5,19,84,Basketball
13.8,1,0,3,3,30,164,Hockey
13.1,2,1,3,5,24,78,Basketball
14.2,1,1,3,3,32,144,Football
18.6,5,0,2,0,19,62,Baseball
17.6,5,1,2,5,40,92,Hockey
14,2,1,0,4,5,99,Basketball
14.3,2,1,2,5,36,21,Hockey
17.3,1,0,2,5,47,100,Basketball
14.6,6,0,3,5,43,20,Baseball
13.5,1,0,2,3,4,96,Hockey
14.6,1,0,2,5,29,116,Hockey
14.6,0,0,2,5,4,165,Hockey
17.1,2,0,3,5,32,18,Basketball
15.8,2,1,3,3,101,130,Hockey
18.1,1,0,0,3,27,168,Football
13.5,1,1,1,3,20,216,Football
17.7,1,1,3,5,41,15,Football
17.4,1,0,2,1,8,204,Hockey
18.6,1,1,3,3,35,200,Football
15.3,0,1,0,0,4,87,Football
14.9,1,0,3,1,5,176,Basketball
18.6,1,0,3,1,4,186,Basketball
16.9,3,1,1,3,11,255,Football
17.5,1,0,2,3,61,112,Hockey
16.5,2,1,0,5,94,120,Basketball
17.7,3,1,0,5,32,25,Hockey
15.1,1,0,0,3,50,147,Basketball
16.6,1,1,3,5,29,57,Baseball
18.2,1,1,2,3,18,330,Football
17.1,1,1,3,3,29,255,Football
15.8,1,1,2,3,63,160,Basketball
13.8,2,1,0,5,28,87,Football
15,1,1,2,3,8,162,Football
18.4,1,0,2,3,36,150,Football
19,2,1,0,5,59,140,Baseball
16.7,2,0,1,5,21,144,Football
14.5,1,0,2,5,8,196,Baseball
16.1,2,0,3,5,45,66,Football
13.1,5,0,3,3,25,220,Baseball
15.3,3,1,2,6,35,75,Basketball
14.7,1,1,2,3,32,117,Football
17.5,1,1,0,5,86,36,Hockey
18.8,2,1,3,5,8,18,Football
16.5,1,0,2,3,19,39,Hockey
18.4,1,1,2,3,28,160,Baseball
13.7,1,1,0,5,11,100,Football
16.7,1,1,2,1,19,108,Football
17.6,2,1,0,5,8,203,Hockey
17.2,2,1,3,5,32,17,Baseball
17.6,5,1,1,5,29,126,Basketball
17.1,1,0,3,5,7,54,Hockey
18.5,3,1,0,3,55,343,Baseball
17.9,1,0,2,3,11,140,Football
13.7,1,0,2,3,8,84,Football
16.1,1,1,2,5,8,99,Hockey
15.3,1,0,3,5,25,54,Baseball
18.9,3,1,0,3,28,144,Football
17.9,5,0,3,5,54,60,Hockey
17.5,3,1,0,3,8,72,Football
15.3,1,0,2,5,18,104,Baseball
15.5,1,1,0,5,40,116,Football
16.5,2,0,0,5,35,96,Basketball
18.1,1,0,2,3,16,160,Football
14.2,4,1,0,3,8,120,Hockey
17.1,3,1,3,5,45,54,Baseball
17.6,1,0,3,5,43,69,Baseball
13.5,3,0,3,5,64,57,Baseball
13.8,3,1,3,3,16,92,Basketball
18.8,2,1,2,3,35,216,Football
14.8,3,0,3,5,29,54,Football
18.1,5,0,0,5,8,116,Hockey
13.9,1,1,1,3,50,378,Hockey
17.7,5,1,0,3,27,102,Football
13.1,1,1,1,3,35,224,Hockey
16.8,4,0,0,5,48,168,Basketball
15.7,2,1,0,1,19,29,Hockey
13.8,1,1,0,3,34,150,Hockey
17.1,2,1,3,5,40,100,Hockey
14.6,2,1,3,5,45,54,Football
13.5,1,0,0,1,33,195,Hockey
18.5,2,1,1,3,29,135,Football
15.3,2,1,3,5,30,57,Baseball
16.3,2,0,3,5,20,57,Football
17.3,3,1,1,1,59,108,Football
16.7,1,1,2,5,18,176,Hockey
18.6,2,0,3,5,40,60,Baseball
16.4,3,1,2,3,55,76,Basketball
14.1,3,0,3,5,35,51,Baseball
15.5,1,0,2,3,0,105,Hockey
13.1,1,1,3,5,4,96,Baseball
13.9,1,1,3,5,55,54,Baseball
18.3,4,1,1,5,98,135,Basketball
13.4,1,0,1,5,13,92,Basketball
18.2,3,1,1,5,29,123,Baseball
17.2,2,1,0,3,8,144,Football
13.1,1,1,2,3,48,270,Football
14.1,4,1,0,5,50,26,Basketball
15.3,1,1,1,5,39,124,Basketball
15.1,1,1,3,5,30,380,Baseball
17.6,1,1,0,3,22,102,Hockey
13.4,6,0,3,3,11,255,Football
13.6,1,1,2,3,43,185,Football
17.2,5,1,3,5,40,21,Basketball
17.8,2,1,2,5,100,90,Football
18,2,0,0,3,4,132,Hockey
16,3,1,0,3,92,155,Baseball
18.4,1,0,1,3,32,200,Baseball
13.2,1,1,2,6,31,224,Hockey
14.2,1,0,3,1,61,200,Basketball
15.2,1,0,3,5,66,66,Basketball
13.9,1,1,3,5,29,60,Baseball
18.5,2,1,2,5,40,162,Baseball
14.6,1,0,2,3,29,265,Baseball
18.5,2,1,3,5,6,17,Baseball
16.9,1,0,0,0,35,48,Baseball
15.5,6,0,1,5,35,49,Hockey
17.9,2,1,1,5,34,180,Hockey
18.5,2,1,3,5,32,190,Hockey
18.3,2,1,2,5,3,100,Hockey
15.2,2,1,2,3,8,96,Baseball
14.3,1,1,1,3,4,189,Hockey
13.1,2,1,2,3,28,42,Baseball
16.2,1,0,1,3,51,287,Basketball
15.9,1,0,2,3,36,145,Football
13.5,1,0,0,3,20,180,Football
15.5,1,0,3,5,29,18,Football
15.5,3,0,0,3,48,129,Football
17.9,5,1,0,5,4,120,Hockey
16,2,0,0,5,35,120,Hockey
15.2,1,1,0,3,8,120,Baseball
16.7,6,1,1,3,11,162,Football
18.5,2,1,1,3,4,120,Baseball
13.5,6,1,0,5,4,132,Football
17.6,1,1,0,5,28,136,Baseball
13.7,6,1,2,3,40,216,Hockey
14.5,1,0,3,5,48,18,Baseball
13.2,6,1,2,1,8,135,Football
13.6,1,0,3,5,42,93,Baseball
16.6,1,1,2,3,20,82,Baseball
17.2,1,0,0,3,48,176,Football
18.8,3,1,0,5,8,54,Baseball
18,1,1,2,3,35,160,Football
13.6,1,0,3,5,35,57,Basketball
18.2,3,1,3,3,43,185,Football
14.3,1,1,0,3,40,156,Football
14.1,6,1,2,3,35,104,Basketball
18,1,1,2,3,70,294,Football
17.3,2,1,2,3,32,78,Baseball
13.7,6,0,3,5,45,88,Baseball
14.4,1,0,3,1,7,260,Hockey
13.8,1,1,2,5,30,52,Hockey
18.8,1,1,2,3,4,118,Football
18.8,2,1,3,5,43,54,Baseball
18.3,1,1,0,5,76,136,Basketball
17.9,2,0,2,3,8,124,Football
13.3,1,1,0,3,18,120,Hockey
15.3,2,1,1,5,39,17,Football
18.8,1,0,3,3,20,210,Football
14.6,0,0,1,5,29,99,Baseball
16.5,2,0,0,5,4,126,Hockey
14,1,0,0,5,4,108,Hockey
17.4,1,1,2,3,29,110,Baseball
17.2,1,0,2,1,18,164,Baseball
18.2,1,1,2,5,28,126,Hockey
18.8,2,1,2,3,13,273,Football
13.9,3,0,3,5,54,81,Football
13.1,1,0,3,3,12,210,Football
14.1,2,0,3,5,17,16,Football
16.9,1,1,3,5,30,17,Football
17.9,3,1,3,5,39,16,Football
18.7,1,1,3,3,32,37,Basketball
13.1,4,0,3,5,32,18,Baseball
14.8,1,1,2,5,101,90,Hockey
14.2,1,1,0,3,54,33,Hockey
17,1,0,2,3,48,210,Basketball
16.7,1,1,2,5,48,136,Basketball
17,1,0,0,1,40,270,Football
17.3,1,0,2,5,29,325,Basketball
15.5,1,1,3,5,29,22,Baseball
